Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
1991.05.026,Dark blue-black velvet headband with bow ,Costume; Headgear; Hats,Dark blue-black velvet headband with self fabric bow draped across crown. Fine full face mesh veil with tiny rhinestone detail. ,1950-1960,Unknown,,Fair condition. Veil is very brittle and has detached from top of headband.,Veil is missing rhinestones. ,KHW66H,Margaret Phillips,
1991.05.027,Black satin crownless hatpiece with veil,Costume; Headgear; Hats,Black satin crownless hatpiece with red velvet and organza rose at front of crown and black full face veil. ,1950-1960,Unknown,,Poor condition. Veil is very brittle and torn in areas. Black satin material is detaching along seamline.,,KHW66H,Margaret Phillips,
1991.05.028,Black velvet half hat,Costume; Headgear; Hats,Black velvet half hat. ,1950-1960,Unknown,,"Good condition.  Velvet has consistent pile, albeit dusty. ",,KHW66H,Margaret Phillips,
1991.05.029,Don Marshall red rose and black cap with eyebrow veil,Costume; Headgear; Hats,Delicate red rose and black cap with eyebrow veil with graduated chenille dots. Red velvet bow on top of crown. ,1955-1965,Don Marshall New York,,Fair condition. Roses are flattened. ,"Veil netting is very delicate, no structure holding pieces in place, roses are simply glued to netting and cap is pinned on head. ",KHW66H,Margaret Phillips,
1992.01.004_A+B+C,Robert K. Irwin orange wool cullotte ensemble,Costume; Garments; Dress,"Burnt orange wool 3-piece ensemble. Sleeveless box cut top, skort with kick pleats and jacket with deep collar, trimmed with black grosgrain ribbon at collar and cuffs, lined in taffeta. ",1970-1979,Robert K. Irwin,"Toronto, Canada",Good condition. Hem  on culottes has been restitched.,,KHW66C,Anne Parke,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_F34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_BCK_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_B34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_FRT_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1992.01.004_A+B+C_F34_Web.jpg"
1992.01.005_A+B,Brown wool jacket with fur trim  Matching skirt with fur trim ,Costume; Garments; Jacket; Skirt,A. Brown wool hip-length jacket with fur trim (fox or faccoon). Jacket has front vertical pockets and button closures. Lined in satin. B. Matching calf-length skirt has fur trim at hemline and a side zipper closure. No maker label but union label in side seam of jacket.,1960-1969,Unknown,,Good condition.,Finely tailored and elegant piece. ,KHW64B,Anne Parke,
1992.01.006_A+B+C,"Robert K. Irwin brown wool floor length vest, palazzo style pants and sleeveless shell",Costume; Garments; ; Vest; Trousers,"A. Brown wool lace, sleeveless floor length vest over beige tafetta lining. Brown lace stand collar and trim. Concealed centre front trim. B. Matching lace and tafetta palazzo style flared pants. C. Matching lace and tafetta sleeveless shell.",1970-1979,Robert K. Irwin,,Good condition. Slightly soiled and some fraying along edges of lace.,,KHW66C,Anne Parke,
1992.01.009_A+B,Robert K. Irwin cream wool sleeveless dress with matching coat ,Costume; Garments; Dress; Coat,"A. Cream wool whipcord sleeveless Princess dress with rolled collar. B. Matching coat with full-length sleeves, rolled collar, 3 front self-buttons (1 missing), bow and faux belt.",1960-1969,Robert K. Irwin,,Good  condition. Some staining underarms and along neck. 1 button missing.,Outfit is heavy. Silk tafetta lining is luxurious. Dress has unusual seaming.,KHW66C,Anne Parke,
1992.01.014,Robert K. Irwin black wool barathea dress,Costume; Garments; Dress,"Black wool barathea dress. Straight cut, knee length, long sleeves with French cuffs, oversize Peter Pan collar and 17 self-fabric buttons.",1960-1964,Robert K. Irwin,,Good condition.,Nun-like dress.,KHW66C,Anne Parke,
1992.01.019_A+B,Balenciaga black wool evening dress and bolero jacket,Costume; Garments; Dress,"Sleeveless black wool broadcloth floor length evening dress and matching bolero jacket. A. Slim fitting long gown with tulip hem, front slit and side button detail. Neckline has rhinestone detail and threaded velvet ribbon. B. Bolero is unembellished and cut in circular shape.",1959-1961,Balenciaga   ,"10 Avenue George, Paris, France.",Very Good condition. ,Very fine craftsmanship. Bolero jacket is cut on bias in a circular shape. ,KHW66C Rack #2,Anne Parke,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_FRT_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_F34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_RGT_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_BCK_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_Det_11_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1992.01.019_A+B_Det_4_Web.jpg"
1992.02.002_A+B+C,Valentino Studio brown striped silk collarless blouse and matching  skirt,Costume; Garments; Blouse; Skirt,"A. Brown striped silk (stripes of pink, red and black) collarless blouse. B. Gathered knee length skirt. C. Tie belt/sash. ",1980-1989,Jack Mulqueen,Korea,Good condition.,"Label reads: ""Valentino Studio by Jack Mulqueen. Size 12. 100% silk. Made in Korea""",KHW66C,Alice Chu,
1992.02.006,Norma Kamali cream silk blouse ,Costume; Garments; Blouse,Cream silk blouse with shoulder pads and elbow length sleeves,1980-1989,Norma Kamali,,Good condition.,,KHW66C,Alice Chu,
1992.03.004_A+B,Brown leather coat with zipped in extension panel and co-ordinating skirt,Costume; Garments; Coat; Skirt,Brown leather coat with zipped in extension panel. B. Co-ordinating pleated wool skirt with side zip,1970-1979,Unknown,,Good condition.,Extension panel on coat allows coat to be made longer or shorter.,KHW64B,Jen Nemeth,
1992.03.007_A+B,Laura Ashley  forest green corduroy jumper dress and coordinating blouse,Costume; Garments; Dress; Blouse,"A. Forest green corduroy jumper dress with back zipper. B. Coordinating light green floral patterned long-sleeved blouse with stand collar, button cuffs and pin tucked front",1970-1979,Laura Ashley,,Fair condition. Some stains on back of dress and shirt. Zipper is fragile.,,KHW66C,Jen Nemeth,
1992.04.006,Norma Kamali cream silk blouse with deep collar,Costume; Garments; Blouse,"Cream silk blouse with deep collar, short sleeves, patch pockets, fitted waist with back ties. ",1985-1990,Norma Kamali,,Fair condition. Some stains on inside of collar.,Size Petite. Very large shoulder pads.,KHW66C,Karen Mulhallen,
1992.04.009,White cotton jacket with deep collar and cutwork,Costume; Garments; Jacket,"White hip-length cotton jacket with deep collar. Fitted with princess seam pleats in front and back. Cutwork, lace and tatting trim on collar and along base of jacket and sleeves. Straight cut long inset sleeves with 3 crocheted buttons on the cuff. Two centre front button closure, single breasted. ",1911-1916,None,,Fair condition. Some underarm stains. Uneven yellowing of garment. ,Seams are finished with Hong Kong seaming deatil.,KHW66B,Karen Mulhallen,
1992.05.003,Sheared fur muff,Costume; Accessories; Handwear,"Black sheered otter muff with ruched brown silk sides. Stuffed with horsehair, lined with wool.",1870-1890,Unknown,,Fair condition.,Historic accessory. Fabric has split in lining. ,KHW66H,Kim Diamond,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_1992.05.003_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_1992.05.003_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Fur&Fea_1992.05.003_F34_Web.jpg"
1993.03.002_A+B,Pumpkin yellow tafetta evening dress and jacket,Costume; Garments; Dress,"A. Pumpkin yellow taffeta sleeveless floor length dress with spaghetti straps. Inset panel at waist and gathered skirt. B. Matching waist-length jacket with puffed short sleeves, waist ties and self-fabric buttons. Jacket has patch pocket on left front.",1930-1939,Unknown,,Fair-good condition. Some minor stains on bodice and back of jacket.,Brilliant colour. Romantic styling of the period. ,KHW66B,Ethel Allen,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_13_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_BCK_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_F34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_14_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_B34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1993.03.002_A+B_RGT_2pc_Web.jpg"
1993.03.003,"Leo Chevallier brown, gray, black and white sweater dress ",Costume; Garments; Dress,"Brown, gray, black and white sweater dress with back zipper, turtleneck collar, and long sleeves. Ribbed bands at waist and wrists. ",1975-1980,Leo Chevallier ,Canada,Good condition.,"Label reads: ""Leo Chevallier for Vanessa, Made in Canada""",Box 201,Ethel Allen,
1993.03.008A+B,Gold lace sleeveless evening dress with 8 tiers of lace ruffles at hem,Costume; Garments; Dress,A. Gold lace sleeveless floor length evening gown with 8 tiers of lace ruffles at hem. Shirred bodice and side closure with snaps and hooks & eyes. V-neck with double ruffle. B. Underslip in nude silk. ,1930-1939,Unknown,,Good condition. Minor underarm stains,"Stunning dress, lace is cut to showcase design in harmony with the dress.",Box 514,Ethel Allen,
1993.03.009,White pleated organza pillbox hat ,Costume; Headgear; Hats,White pleated organza pillbox hat with large self-fabric bow on rear of crown. ,1960-1965,Hudson's Bay Company,,Good condition.,Canadian retailer. Glue stain on inside of crown. Minor spots on organza bow.,KHW66H,Ethel Allen,
1993.03.010,Miss May New York straw beret cap with velvet bow,Costume; Headgear; Hats,Fine black twill weave staw beret cap with dainty black velvet bow on left side of crown. ,1960-1970,Miss May New York,,Good condition. Some discolouraton due to age.,Very sweet design with voluminous beret crown and dainty bow. ,KHW66H,Ethel Allen,
1993.03.011,Mr. Stanley black netting turban style pillbox hat  ,Costume; Headgear; Hats,Black netting turban style pillbox hat with twisted velvet detail at front of crown and hair pin. ,1960-1970,Mr. Stanley ,"New York, USA",Good condition. Minor signs of wear along inner crown. Netting and velvet in tact.,"Label reads: ""An Original Mr. Stanley New York Made in USA"" ",KHW66H,Ethel Allen,
1993.03.012,Peg Liecher New York straw cap with wide brown velvet trim,Costume; Headgear; Hats,Fine brown straw cap with wide brown velvet trim. Self-fabric bow on top of crown and brown full face veil. With hair combs.,1950-1960,Peg Liecher New York,,Poor condition. Veil is very brittle and has large rips throughout. ,,KHW66H,Ethel Allen,
1993.03.013,Stetson Fifth Avenue black fur cap with bow,Costume; Headgear; Hats,Black fur asymmetrical cap with self-fabric bow on right side of crown. ,1930-1939,Stetson Fifth Avenue,,Good condition. Minor signs of wear but label on inside of crown is yellowing from age.,,KHW66H,Ethel Allen,
1993.03.014,Royal blue velvet headpiece,Costume; Headgear; Hats,Royal blue velvet headpiece with symmetrical self-fabric rosettes on either side of crown with waxed artificial leaves. ,1950-1960,Unknown,,"Good condition. Minimal signs of wear, leaves in good shape. ",Entirely handsewn.,KHW66H,Ethel Allen,
1993.04.010,Black crepe dress with sequins,Costume; Garments; Dress,"Black crepe dress with short sleeves, peplum waist detail to back tie, floral sequin spray across left shoulder. ",1945-1948,Unknown,,Very good condition.,,KHW66B,Donna Jean MacKinnon,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1993.04.010_Det_4_Web.jpg"
1993.04.023_A+B+C,Floral knit jumpsuit and shawl,Costume; Headgear; Hats,A. Multi-coloured floral knit sleeveless jumpsuit B. shawl C. self belt. ,1970-1979,The House of Nu-Made.,Toronto,Very good condition.,Demonstrates bold pattern and colours of 1970s,KHW64A,Donna Jean MacKinnon,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_RGT_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_B34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_FRT_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_BCK_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_F34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Pant&Jumpsuits_1993.04.023_A+B+C_Det_4_Web.jpg"
